 Folio, Ejercicio, Mes, Fecha, Dia, Hora, Tipo_de_accidente, Resolución, Origen_de_reporte, Tipo_de_asentamiento, Nombre_de_asentamiento, Tipo_de_vialidad, Nombre_de_la_Vialidad, Georreferencia, Nota
1654,2021,Octubre-Diciembre,2021-12-06,Lunes,19:40:00,De Frente,Agencia De Ministerio Publico,911.0,Colonia,La Encarnacion,Avenida,Av Ignacio Sepulveda  Hector  Caballero,"25.736402, -100.207429",
695,2021,Octubre-Diciembre,2021-10-30,Sabado,00:43:00,Alcance Con Estrellamiento,Peritaje,911.0,Colonia,Mezquital,Avenida,Carlos Salinas De Gortari  Hda Del Mezquital  Col Mezquital,"25.748613, -100.226189",
1660,2021,Octubre-Diciembre,2021-12-06,Lunes,01:27:00,Lateral,Peritaje,911.0,Colonia,Moderno,Avenida,Isidoro Sepulveda  Miguel Aleman Hda Santa Fe,"25.736816, -100.2079",
716,2021,Octubre-Diciembre,2021-10-30,Sabado,15:15:00,Crucero,Peritaje,911.0,Colonia,Centro,Calle,Jeronimo Treviño  Zaragoza Centro,"25.782612, -100.189889",
1662,2021,Octubre-Diciembre,2021-12-07,Martes,07:00:00,Alcance,Peritaje,911.0,Colonia,Nuevo Amanecer,Avenida,Costa Rica  Cuba,"25.778711, -100.251185",
731,2021,Octubre-Diciembre,2021-10-30,Sabado,22:10:00,Alcance,Investigaciones,911.0,Colonia,Moderno,Avenida,Av Telefonos  Miguel Aleman  Industrial Huinala,"25.766771, -100.191346",
1673,2021,Octubre-Diciembre,2021-12-07,Martes,13:30:00,Salida De Superficie De Rodamiento,Agencia De Ministerio Publico,911.0,Colonia,Pueblo Nuevo,Avenida,Rio Pilon  Rio Curaray,"25.75878, -100.171299",
732,2021,Octubre-Diciembre,2021-10-30,Sabado,22:10:00,Alcance,Peritaje,911.0,Colonia,Privadas De Santa Rosa,Avenida,Av Del Lago  Av Del Rio,"25.807564, -100.236001",
1745,2021,Octubre-Diciembre,2021-12-10,Viernes,08:00:00,Lateral,Peritaje,911.0,Colonia,Santa Rosa,Avenida,Jesus Dionicio Gzz  Humberto Ramos Lozano  Col Santa Rosa,"25.819913, -100.220959",
740,2021,Octubre-Diciembre,2021-10-31,Domingo,10:00:00,Alcance Con Estrellamiento,Peritaje,911.0,Colonia,Mirasol,Carretera,Carr Villa Juarez  Dulces Nombres Col Mirasol,"25.701578, -100.131584",
1749,2021,Octubre-Diciembre,2021-12-10,Viernes,09:58:00,Lateral,Investigaciones,911.0,Residencial,Bello Amanecer,Carretera,Dulces Nombres  Villa Juarez,"25.70154, -100.131737",
761,2021,Octubre-Diciembre,2021-11-01,Lunes,06:22:00,Alcance Con Estrellamiento,Peritaje,911.0,Colonia,Apodaca Centro,Calle,Jose Maria Morelos Y Pavon  Matamoros,"25.775127, -100.198678",
1754,2021,Octubre-Diciembre,2021-12-10,Viernes,14:00:00,Lateral Con Huida,Peritaje,911.0,Colonia,Centro,Calle,Morelos  Allende Centro,"25.779961, -100.187105",
771,2021,Octubre-Diciembre,2021-11-01,Lunes,13:10:00,Alcance Con Precaucion,Peritaje,911.0,Colonia,Mision De San Jose,Avenida,Concordia Maple Col Mision De San Jose,"25.7861, -100.237045",
1780,2021,Octubre-Diciembre,2021-12-11,Sabado,15:10:00,Lateral,Peritaje,911.0,Colonia,Lomas Del Pedregal,Avenida,Av Telefonos  Av Jamaica  Col Lomas Del Pedregal,"25.726541, -100.172091",
780,2021,Octubre-Diciembre,2021-11-01,Lunes,18:20:00,Crucero,Peritaje,911.0,Colonia,Centro,Avenida,Blvd Carlos Salinas De Gortari Salida Empresa Wirphool,"25.759311, -100.210617",
1782,2021,Octubre-Diciembre,2021-12-11,Sabado,08:30:00,Estrellamiento Con Huida,Investigaciones,911.0,Residencial,Encinos,Calle,Carr  Mty  Huinala  De La Gloria,"25.73694, -100.180727",
785,2021,Octubre-Diciembre,2021-11-01,Lunes,22:00:00,Alcance Con Precaucion,Peritaje,911.0,Residencial,Apodaca,Avenida,Ant Carr Agua Fria Arco Vial Col Residencial Apodaca,"25.790232, -100.179286",
1790,2021,Octubre-Diciembre,2021-12-11,Sabado,11:45:00,Alcance,Peritaje,911.0,Colonia,Moderno,Avenida,Concordia  Molinos,"25.767075, -100.19804",
